作品名称,年份,剧本,系统,画面,音乐,总评,评级,个人差,分级,EGS,BGM,Δ,完成日期
Forest,2004,122,54,89,86,106.6,SS,2.3,18+,85,8.6,+2.1,2023-05-21
Remember11 -the age of infinity-,2004,106,69,81,85,97.0,SS-,1.1,15+,~80,8.9,+0.8,2023-10-06
SWAN SONG,2005,103,50,74,93,92.0,S+,0.9,18+!!,85,8.2,+1.0,2023-03-26
穢翼のユースティア,2011,96,51,89,99,88.9,S,0.5,18+,87,8.3,+0.6,2025-04-05
Muv-Luv Alternative,2006,97,44,87,96,88.2,S,1.0,18+,93,8.8,+0.0,2018-01-30
WHITE ALBUM 2,2011,100,42,53,100,87.5,S,0.7,18+,94,9.0,-0.2,2016-07-06
"BALDR SKY Dive 1 ""LostMemory""",2009,85,100,82,97,87.9,S-,0.5,18+,90,8.5,+0.3,2018-05-12
"BALDR SKY Dive 2 ""RECORDARE""",2009,83,100,81,97,86.4,S-,0.7,18+,90,8.8,-0.2,2018-06-18
素晴らしき日々 ～不連続存在～,2010,94,44,63,98,84.3,A+,2.3,18+!!,90,8.9,-0.5,2017-08-21
キラ☆キラ,2007,89,49,76,95,82.4,A+,0.9,18+,85,8.5,-0.3,2023-03-06
暗い部屋,2010,95,22,57,80,80.0,A+,1.7,All,~81,7.7,+0.3,2025-04-13
サクラノ詩 －櫻の森の上を舞う－,2015,86,47,84,100,81.0,A,1.2,18+,90,8.9,-0.8,2020-03-03
Rewrite,2011,84,64,70,95,80.6,A,1.4,All,82,8.6,-0.5,2019-08-02
装甲悪鬼村正,2009,85,49,88,96,80.6,A,1.0,18+!,90,8.6,-0.5,2018-04-12
CROSS†CHANNEL,2003,91,44,50,84,80.2,A,1.4,18+,90,8.6,-0.6,2018-07-12
I/O,2006,83,60,83,99,80.7,A-,2.4,15+,~80,~8.2,-0.1,2024-01-15
Summer Pockets,2018,75,85,86,98,79.0,A-,0.9,All,86,8.3,-0.4,2019-11-11
STEINS;GATE,2009,84,56,72,82,78.7,A-,0.9,17+,90,8.8,-0.9,2015-08-07
ヒラヒラヒヒル,2023,82,50,85,90,78.0,A-,0.8,All,~85,7.8,0.0,2025-02-01
腐り姫 ～euthanasia～,2002,84,48,67,89,77.6,A-,1.3,18+,81,8.3,-0.5,2023-07-09
加奈…おかえり!!,2004,88,41,39,76,76.2,A-,0.8,18+,82,8.1,-0.5,2023-01-14
Ever17 -the out of infinity-,2002,87,36,36,76,74.5,A-,1.9,15+,90,9.1,-1.6,2015-07-18
ファタモルガーナの館,2012,79,48,68,97,74.7,B+,1.6,All,~90,8.4,-0.9,2022-11-27
narcissu -SIDE 2nd-,2007,84,31,62,90,74.7,B+,0.9,All,82,8.2,-0.7,2019-09-14
終のステラ,2022,76,49,85,98,74.2,B+,1.0,All,~85,7.7,-0.3,2023-01-19
媚肉の香り,2008,75,61,75,90,74.0,B,0.9,18+!,83,7.9,-0.5,2017-01-30
家族計画 ～そしてまた家族計画を～,2004,80,39,44,79,70.9,B,0.9,18+,80,8.8,-1.7,2022-12-20
narcissu,2005,79,31,57,90,70.8,B,1.5,All,80,8.5,-1.4,2019-06-20
G線上の魔王,2008,76,41,62,81,70.0,B,1.1,18+,86,8.0,-1.0,2015-06-14
Fate/Stay Night,2004,78,46,41,74,70.0,B,1.1,18+,90,8.3,-1.3,2015-04-12
車輪の国、悠久の少年少女,2007,78,39,48,78,69.8,B,1.0,18+,80,7.8,-0.8,2018-06-29
車輪の国、向日葵の少女,2005,78,39,46,79,69.7,B,1.0,18+,88,8.2,-1.2,2018-06-28
殻ノ少女,2008,70,68,80,93,72.1,B-,1.3,18+!,82,7.7,-0.5,2017-08-13
この世の果てで恋を唄う少女 YU-NO,1996,65,79,62,94,68.9,B-,2.1,18+,93,8.6,-1.7,2022-12-31
家族計画 ～絆箱～,2002,77,27,41,79,66.8,B-,0.9,18+,90,8.4,-1.7,2022-12-18
他人世界末,2020,69,45,54,74,64.6,C+,1.1,All,,~6.9,-0.4,2020-07-20
Ghost Trick,2010,58,72,77,87,63.6,C,1.9,All,,8.8,-2.4,2023-11-19
11eyes -罪と罰と贖いの少女-,2008,55,53,73,81,58.0,C,1.0,18+,78,7.2,-1.4,2015-06-08
Rewrite Harvest festa!,2012,48,83,70,84,57.5,C-,0.7,15+,75,7.2,-1.4,2019-09-06
Muv-Luv,2003,54,42,84,70,55.7,D+,1.5,18+,78,6.7,-1.1,2018-01-24
君と彼女と彼女の恋。,2013,43,70,68,80,51.6,D+,1.8,18+,80,7.5,-2.3,2018-01-13
VenusBlood -FRONTIER-,2012,39,81,56,75,49.2,D,1.0,18+G,~83,~7.3,-2.4,2018-07-23
DRAMAtical Murder,2012,38,61,79,82,47.8,D-,1.8,18+,~65,7.6,-2.8,2021-09-01
ヨスガノソラ,2008,41,42,69,83,46.3,D-,1.2,18+,72,6.9,-2.3,2014-01-31
沙耶の唄,2003,40,29,27,87,40.6,E,3.5,18+G,82,7.9,-3.8,2018-01-31
去人たち Ⅰ,2006,36,23,20,82,36.0,F+,3.9,All,~75,~7.5,-3.9,2023-09-24
Doki Doki Literature Club,2017,28,50,60,51,35.5,F+,2.2,13+!!,~78,7.0,-3.5,2018-01-08
